Croptype,Province,Quarter 1 1987,Quarter 2 1987,Quarter 3 1987,Quarter 4 1987,Quarter 1 1988,Quarter 2 1988,Quarter 3 1988,Quarter 4 1988,Quarter 1 1989,Quarter 2 1989,Quarter 3 1989,Quarter 4 1989,Quarter 1 1990,Quarter 2 1990,Quarter 3 1990,Quarter 4 1990,Quarter 1 1991,Quarter 2 1991,Quarter 3 1991,Quarter 4 1991,Quarter 1 1992,Quarter 2 1992,Quarter 3 1992,Quarter 4 1992,Quarter 1 1993,Quarter 2 1993,Quarter 3 1993,Quarter 4 1993,Quarter 1 1994,Quarter 2 1994,Quarter 3 1994,Quarter 4 1994,Quarter 1 1995,Quarter 2 1995,Quarter 3 1995,Quarter 4 1995,Quarter 1 1996,Quarter 2 1996,Quarter 3 1996,Quarter 4 1996,Quarter 1 1997,Quarter 2 1997,Quarter 3 1997,Quarter 4 1997,Quarter 1 1998,Quarter 2 1998,Quarter 3 1998,Quarter 4 1998,Quarter 1 1999,Quarter 2 1999,Quarter 3 1999,Quarter 4 1999,Quarter 1 2000,Quarter 2 2000,Quarter 3 2000,Quarter 4 2000,Quarter 1 2001,Quarter 2 2001,Quarter 3 2001,Quarter 4 2001,Quarter 1 2002,Quarter 2 2002,Quarter 3 2002,Quarter 4 2002,Quarter 1 2003,Quarter 2 2003,Quarter 3 2003,Quarter 4 2003,Quarter 1 2004,Quarter 2 2004,Quarter 3 2004,Quarter 4 2004,Quarter 1 2005,Quarter 2 2005,Quarter 3 2005,Quarter 4 2005,Quarter 1 2006,Quarter 2 2006,Quarter 3 2006,Quarter 4 2006,Quarter 1 2007,Quarter 2 2007,Quarter 3 2007,Quarter 4 2007,Quarter 1 2008,Quarter 2 2008,Quarter 3 2008,Quarter 4 2008,Quarter 1 2009,Quarter 2 2009,Quarter 3 2009,Quarter 4 2009,Quarter 1 2010,Quarter 2 2010,Quarter 3 2010,Quarter 4 2010,Quarter 1 2011,Quarter 2 2011,Quarter 3 2011,Quarter 4 2011,Quarter 1 2012,Quarter 2 2012,Quarter 3 2012,Quarter 4 2012,Quarter 1 2013,Quarter 2 2013,Quarter 3 2013,Quarter 4 2013,Quarter 1 2014,Quarter 2 2014,Quarter 3 2014,Quarter 4 2014,Quarter 1 2015,Quarter 2 2015,Quarter 3 2015,Quarter 4 2015,Quarter 1 2016,Quarter 2 2016,Quarter 3 2016,Quarter 4 2016,Quarter 1 2017,Quarter 2 2017,Quarter 3 2017,Quarter 4 2017,Quarter 1 2018,Quarter 2 2018,Quarter 3 2018,Quarter 4 2018,Quarter 1 2019,Quarter 2 2019,Quarter 3 2019,Quarter 4 2019,Quarter 1 2020,Quarter 2 2020,Quarter 3 2020,Quarter 4 2020,Quarter 1 2021,Quarter 2 2021,Quarter 3 2021,Quarter 4 2021,Quarter 1 2022,Quarter 2 2022,Quarter 3 2022,Quarter 4 2022,Quarter 1 2023,Quarter 2 2023,Quarter 3 2023,Quarter 4 2023,Quarter 1 2024,Quarter 2 2024,Quarter 3,Quarter 4
Irrigated Palay,Aklan,6130,3440,2290,6890,7510,1610,6770,4440,11830,30,4110,10480,9130,150,7420,1420,11330,80,4980,4280,11480,10,4150,4740,11280,50,4020,6390,9980,490,7940,3620,9990,1100,5790,4420,9140,1410,7550,2800,8589,790,2977,6665,9800,189,6480,2140,8176,3592,7250,3317,7052,2721,5398,6764,8610,971,5405,6571,8616,844,3031,7198,8182,1423,3382,7977,9640,1425,8712,2560,10088,1126,4188,5792,9380,1112,8252,2612,9492,950,5420,4825,6786,1026,7620,4222,6925,1159,6825,6079,7368,825,935,7839,6934,1764,6465,3010,7146,1227,3469,6285,6814,2401,3705,6540,5490,1722,2740,6090,5520,1247,730,7795,6105,1686,2972,5513,7670,2563,3804,6043,7792,2284,4587,3946,6773,1495,1486,6283,7751,2150,4815,4872,5153,2303,3629,6221,6668,2461.18,4662,5832.77,6696,2171,3067,5940,6094,1138,..,..
,Antique,9030,2430,2590,6350,9430,1620,4310,4770,9680,1650,5170,7450,10900,1620,5400,5900,13180,1580,2010,14600,12590,980,2030,15060,11000,1420,2440,14240,11540,3860,7560,9140,11070,4550,6500,11090,13250,8100,8448,13203,11950,8127,12042,8690,12650,7255,11032,10670,13260,9670,11820,11093,14100,10095,12780,13150,15200,8497,13500,13230,15200,7133,13174,13150,7368,2553,13471,12775,13217,5030,13137,8200,10765,5764,14232,12254,14996,5424,14181,11114,14248,5070,13160,13694,14390,6355,12672,12283,13716,6674,13615,12446,9463,2322,9008,13784,14569,5269,13731,13613,13000,5415,13879,13820,13248,5128,13943,14543,13508,4526,13326,15560,13267,4631,12682,16514,13061,3290,12608,15464,13355,4080,12929,15155,13646,4826,13726,15659,14589,3901,11007,19257,5581,3870,14114,11528,11986,6152,14306,12149,12115,5903,15630,11325,12202,4452,10647,11220,12384,3506,..,..
,Capiz,6300,520,100,5860,5830,0,4790,1940,6410,510,6690,1330,5380,190,6030,2270,7550,150,2540,4940,7330,390,3540,4220,7610,330,1500,6410,7300,1880,6130,3060,6820,2720,6720,2660,6600,4890,6650,3220,6180,2559,5467,4635,4178,3390,2814,5127,6862,5063,6093,4342,6831,5224,6923,4284,6126,5096,7000,4305,6705,5210,6509,5752,9642,5242,7904,6900,6861,6870,7612,6688,6883,6841,7586,6876,6961,6846,8247,6572,7036,6858,9538,8404,6691,7438,6720,11891,7170,6745,7885,11658,7035,4844,6912,10771,6741,6530,7077,7654,6772,5413,7209,8470,8026,5510,7325,5095,6494,6256,7409,8946,6244,8028,7982,8960,8665,6150,7730,7380,8840,6860,8847,6470,8842,7675,7993,7423,8835,4390,5256,9850,9230,5400,8550,7456,9240,6260,9060,7364,9210,4508,8470,6704,9876,4648,6870,5000,9880,4143,..,..
,Guimaras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1930,920,1240,350,610,70,180,1000,700,150,815,425,930,485,795,1320,1000,20,1000,1198,1150,420,1428,960,1170,575,850,1450,1200,550,1110,1210,725,450,0,1500,1500,50,1250,975,575,35,1125,1080,895,85,1400,660,940,70,1350,990,900,60,1297,1430,975,247,1375,1315,1080,230,1567,1155,954,198,1132,1108,954,556,1652,1109,1022,600,1660,1425,771,136,1177,993,1027,241,1039,1358,810,90,589,1449,580,8,765,1455,747,130,810,1820,921,70,1053,1273,1239,110,408,1827,1400,198,1460,1535,1323,260,974,1725,1380,279.88,1534,1439,1330,350,1121,1821,1258,190,..,..
,Iloilo,21270,6030,1850,23310,26270,440,16520,19140,22280,4560,19740,16350,18740,1100,18900,15150,25000,3340,7540,21560,22030,3840,5130,36200,30700,5520,12130,47490,30770,7780,37200,20670,34450,4210,24080,31160,44980,8430,35316,24584,36733,7110,25812,37000,31460,1209,14072,33032,38667,14770,33225,31000,35600,12446,32433,34524,32541,13545,31040,33161,39750,14901,19800,49023,45838,4600,43662,33926,48867,8181,45194,30814,44971,8724,30483,39898,48692,10976,46445,36577,34635,11456,39043,38063,48922,14100,49000,39600,44198,14928,52771,35978,35004,2000,23304,47000,48000,12000,43107,30645,41741,8860,43202,31212,40459,5880,30700,33716,46050,6240,26236,39046,46975,4388,25744,46580,37537,3305,17010,41720,45853,3730,35690,28990,43802,3820,36615,28573,41437,3004,22146,38409,43208,3685,31007,39886,41219,5215,39339,28098,41245,4235,41123,29142,42500,2658,38145,44625,43392,2124,..,..
Rainfed Palay,Aklan,4890,3850,790,7150,6850,1140,2230,3910,7920,0,2650,340,7430,50,6820,1030,7620,0,5640,1500,7520,0,3060,4500,7530,0,130,7750,8240,0,6400,1780,7280,550,5680,3080,8440,680,7430,1180,7893,482,945,7343,8028,0,2426,7200,8951,840,7023,4279,5975,4402,6900,3006,9195,1887,3997,5855,9048,180,2531,8710,9424,1788,1640,9822,11907,1750,10128,1419,12948,554,6892,6724,9222,920,8290,2188,9196,400,2452,10347,6676,1525,7568,5028,6850,3141,7923,5753,7496,0,950,7860,8400,2575,7050,3047,7782,2130,2971,7885,7493,2150,3847,8059,6655,1952,1357,8023,6867,1475,825,7999,6903,1093,2517,6007,7679,1429,4611,5033,7902,1256,5225,3446,8001,1110,1193,7439,6677,1754,4431,5953,5414,1961,3707,6059,6615,2210.75,4183,5773.74,6634,1891,2492,5813,5004,581,..,..
,Antique,2590,0,5240,7700,2800,0,6280,8110,4140,0,5640,5550,980,0,4680,4800,3590,0,4340,8330,2790,0,3370,9940,2450,0,3240,10500,3010,0,6690,7980,1400,0,4570,9560,2930,180,7159,11624,2353,75,11648,7310,550,0,10300,7720,2650,1400,11580,4900,2587,900,10556,7220,2690,650,10200,7440,3616,350,9299,9001,5911,0,13667,11998,3795,0,13248,12556,3528,0,11604,14979,3976,0,11593,13220,3788,0,9126,13786,5800,540,12062,12397,4837,561,18117,10667,1738,0,9985,16207,6517,516,18123,11675,3576,547,18391,12287,4000,504,18409,13662,4186,230,14880,14726,3928,427,15744,14888,3524,230,14471,14398,3971,375,15501,14939,4547,390,15399,15078,4592,384,14708,15225,3205.94,385,16509,15900,5164,535,16449,15867,5387,396,17562,16107,5419,129,10183,13013,5456,55,..,..
,Capiz,31240,1660,2030,33480,33380,440,16760,17820,36060,1270,26290,5440,33490,380,26130,6650,34700,40,6240,26600,33010,0,9770,22110,35140,540,230,31240,33890,660,32300,7020,34610,1200,33240,4600,35420,5630,34680,4222,33371,3957,20454,22408,36644,215,10194,30714,37800,5630,31424,9002,34431,13238,28748,13245,31156,12075,31680,14545,36724,12150,19470,22127,31918,8334,21664,17978,26849,8534,25039,15829,29462,8639,25509,16698,27921,8265,31483,10579,27930,7286,29076,11743,24039,6596,28570,15838,25459,9177,35859,17367,24347,4864,28137,20530,27595,5374,30751,19574,27045,4144,32075,21431,23049,4781,32866,13982,20807,5662,11199,28820,20780,5990,7035,29215,23450,2500,21200,15435,25049,4715,23668,20007,27058,9110,17542,29005,26697,2992,8699,30448,30543,10482,19410,18039,31256,15158,26615,15100,31221,13237,25137,13796,32773,13350,20610,12036,32830,5551,..,..
,Guimaras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3910,0,5590,1130,3900,0,6000,1500,5000,100,8895,2010,5476,100,4670,4875,1200,0,7285,2500,6000,660,8000,4315,5005,25,5666,5200,4175,0,3000,6830,4341,0,1040,8905,3124,0,5470,4960,3714,0,6841,5980,2690,0,7774,4718,2365,0,7386,5493,2876,0,5630,7492,3210,80,5964,7072,3780,150,5925,7660,3270,92,4418,6616,3242,397,9256,3115,3163,490,9424,4031,2179,105,5929,6186,4207,100,5515,6219,2414,15,3569,6595,1318,0,6610,4641,3539,200,6758,5860,2555,65,6356,3900,3435,35,1303,8985,4201,103,6264,6249,4160,125,4641,6525,4252,129.94,6949,5564,3001,150,4864,6593,2850,100,..,..
,Iloilo,60130,2490,12190,86600,54170,170,29760,62280,60730,720,34820,31690,42280,20,35160,19330,61710,40,8880,77940,50800,0,6780,78600,51870,0,6350,62780,52990,0,38120,21010,32380,0,32220,35850,42100,380,34187,30277,38270,3315,15250,43068,15565,0,13332,32020,41142,2655,41097,22110,32706,1000,33066,35599,34237,2733,31339,40600,37533,225,21186,57300,29372,30,30216,50738,38500,32,39614,43766,30576,35,31440,43959,31588,70,38628,44286,29196,400,43741,47581,36151,400,57700,39750,38576,3850,61200,30409,21952,200,25476,48500,46496,2430,65949,27250,42241,2550,71869,47860,29155,1425,53040,56416,51207,2690,32710,60090,51415,1075,29888,65889,41517,422,29720,65599,57313,2536,51424,61014,61595,2585,54835,60286,57791,1845,37543,65668,58318,2076,45924,66394,59930,3116,59964,56195,60143,2526,62146,57161,61149,2135,56832,63262,66207,1780,..,..
