,Croptype,Province,Quarter,Year,Area,Production
840,Irrigated Palay,Aklan,1,1994,9980.0,43151.0
841,Irrigated Palay,Antique,1,1994,11540.0,26667.0
842,Irrigated Palay,Capiz,1,1994,7300.0,20440.0
843,Irrigated Palay,Guimaras,1,1994,1930.0,7123.0
844,Irrigated Palay,Iloilo,1,1994,30770.0,118772.0
845,Rainfed Palay,Aklan,1,1994,8240.0,14339.0
846,Rainfed Palay,Antique,1,1994,3010.0,4635.0
847,Rainfed Palay,Capiz,1,1994,33890.0,74558.0
848,Rainfed Palay,Guimaras,1,1994,3910.0,8459.0
849,Rainfed Palay,Iloilo,1,1994,52990.0,137774.0
850,Palay,Aklan,1,1994,18220.0,57490.0
851,Palay,Antique,1,1994,14550.0,31302.0
852,Palay,Capiz,1,1994,41190.0,94998.0
853,Palay,Guimaras,1,1994,5840.0,15582.0
854,Palay,Iloilo,1,1994,83760.0,256546.0
855,White Corn,Aklan,1,1994,2581.0,6370.0
856,White Corn,Antique,1,1994,110.0,46.0
857,White Corn,Capiz,1,1994,160.0,91.0
858,White Corn,Guimaras,1,1994,60.0,60.0
859,White Corn,Iloilo,1,1994,1240.0,1240.0
860,Yellow Corn,Aklan,1,1994,2581.0,6370.0
861,Yellow Corn,Antique,1,1994,800.0,640.0
862,Yellow Corn,Capiz,1,1994,960.0,1162.0
863,Yellow Corn,Guimaras,1,1994,320.0,338.0
864,Yellow Corn,Iloilo,1,1994,6090.0,6585.0
865,Corn,Aklan,1,1994,2581.0,6370.0
866,Corn,Antique,1,1994,910.0,686.0
867,Corn,Capiz,1,1994,1120.0,1253.0
868,Corn,Guimaras,1,1994,380.0,398.0
869,Corn,Iloilo,1,1994,7330.0,7825.0
870,Irrigated Palay,Aklan,2,1994,490.0,2150.0
871,Irrigated Palay,Antique,2,1994,3860.0,12456.0
872,Irrigated Palay,Capiz,2,1994,1880.0,6079.0
873,Irrigated Palay,Guimaras,2,1994,920.0,2715.0
874,Irrigated Palay,Iloilo,2,1994,7780.0,28008.0
875,Rainfed Palay,Aklan,2,1994,2581.0,6370.0
876,Rainfed Palay,Antique,2,1994,2581.0,6370.0
877,Rainfed Palay,Capiz,2,1994,660.0,1412.0
878,Rainfed Palay,Guimaras,2,1994,2581.0,6370.0
879,Rainfed Palay,Iloilo,2,1994,2581.0,6370.0
880,Palay,Aklan,2,1994,490.0,2150.0
881,Palay,Antique,2,1994,3860.0,12456.0
882,Palay,Capiz,2,1994,2540.0,7491.0
883,Palay,Guimaras,2,1994,920.0,2715.0
884,Palay,Iloilo,2,1994,7780.0,28008.0
885,White Corn,Aklan,2,1994,40.0,35.0
886,White Corn,Antique,2,1994,300.0,180.0
887,White Corn,Capiz,2,1994,110.0,37.0
888,White Corn,Guimaras,2,1994,100.0,95.0
889,White Corn,Iloilo,2,1994,1100.0,1081.0
890,Yellow Corn,Aklan,2,1994,600.0,510.0
891,Yellow Corn,Antique,2,1994,1780.0,1513.0
892,Yellow Corn,Capiz,2,1994,2450.0,2793.0
893,Yellow Corn,Guimaras,2,1994,2581.0,6370.0
894,Yellow Corn,Iloilo,2,1994,2230.0,2453.0
895,Corn,Aklan,2,1994,640.0,545.0
896,Corn,Antique,2,1994,2080.0,1693.0
897,Corn,Capiz,2,1994,2560.0,2830.0
898,Corn,Guimaras,2,1994,100.0,95.0
899,Corn,Iloilo,2,1994,3330.0,3534.0
900,Irrigated Palay,Aklan,3,1994,7940.0,27780.0
901,Irrigated Palay,Antique,3,1994,7560.0,19202.0
902,Irrigated Palay,Capiz,3,1994,6130.0,20719.0
903,Irrigated Palay,Guimaras,3,1994,1240.0,3658.0
904,Irrigated Palay,Iloilo,3,1994,37200.0,152520.0
905,Rainfed Palay,Aklan,3,1994,6400.0,11959.0
906,Rainfed Palay,Antique,3,1994,6690.0,11373.0
907,Rainfed Palay,Capiz,3,1994,32300.0,72998.0
908,Rainfed Palay,Guimaras,3,1994,5590.0,10342.0
909,Rainfed Palay,Iloilo,3,1994,38120.0,98350.0
910,Palay,Aklan,3,1994,14340.0,39739.0
911,Palay,Antique,3,1994,14250.0,30575.0
912,Palay,Capiz,3,1994,38430.0,93717.0
913,Palay,Guimaras,3,1994,6830.0,14000.0
914,Palay,Iloilo,3,1994,75320.0,250870.0
915,White Corn,Aklan,3,1994,20.0,17.0
916,White Corn,Antique,3,1994,100.0,63.0
917,White Corn,Capiz,3,1994,200.0,64.0
918,White Corn,Guimaras,3,1994,190.0,167.0
919,White Corn,Iloilo,3,1994,2040.0,2042.0
920,Yellow Corn,Aklan,3,1994,340.0,221.0
921,Yellow Corn,Antique,3,1994,210.0,164.0
922,Yellow Corn,Capiz,3,1994,3690.0,4022.0
923,Yellow Corn,Guimaras,3,1994,1070.0,1177.0
924,Yellow Corn,Iloilo,3,1994,12430.0,16767.0
925,Corn,Aklan,3,1994,360.0,238.0
926,Corn,Antique,3,1994,310.0,227.0
927,Corn,Capiz,3,1994,3890.0,4086.0
928,Corn,Guimaras,3,1994,1260.0,1344.0
929,Corn,Iloilo,3,1994,14470.0,18809.0
930,Irrigated Palay,Aklan,4,1994,3620.0,13450.0
931,Irrigated Palay,Antique,4,1994,9140.0,18554.0
932,Irrigated Palay,Capiz,4,1994,3060.0,10435.0
933,Irrigated Palay,Guimaras,4,1994,350.0,840.0
934,Irrigated Palay,Iloilo,4,1994,20670.0,90972.0
935,Rainfed Palay,Aklan,4,1994,1780.0,3015.0
936,Rainfed Palay,Antique,4,1994,7980.0,11651.0
937,Rainfed Palay,Capiz,4,1994,7020.0,16988.0
938,Rainfed Palay,Guimaras,4,1994,1130.0,1684.0
939,Rainfed Palay,Iloilo,4,1994,21010.0,43071.0
940,Palay,Aklan,4,1994,5400.0,16465.0
941,Palay,Antique,4,1994,17120.0,30205.0
942,Palay,Capiz,4,1994,10080.0,27423.0
943,Palay,Guimaras,4,1994,1480.0,2524.0
944,Palay,Iloilo,4,1994,41680.0,134043.0
945,White Corn,Aklan,4,1994,20.0,17.0
946,White Corn,Antique,4,1994,2581.0,6370.0
947,White Corn,Capiz,4,1994,2581.0,6370.0
948,White Corn,Guimaras,4,1994,10.0,8.0
949,White Corn,Iloilo,4,1994,110.0,88.0
950,Yellow Corn,Aklan,4,1994,320.0,224.0
951,Yellow Corn,Antique,4,1994,2581.0,6370.0
952,Yellow Corn,Capiz,4,1994,440.0,308.0
953,Yellow Corn,Guimaras,4,1994,30.0,29.0
954,Yellow Corn,Iloilo,4,1994,580.0,661.0
955,Corn,Aklan,4,1994,340.0,241.0
956,Corn,Antique,4,1994,2581.0,6370.0
957,Corn,Capiz,4,1994,440.0,308.0
958,Corn,Guimaras,4,1994,40.0,37.0
959,Corn,Iloilo,4,1994,690.0,749.0
960,Irrigated Palay,Aklan,1,1995,9990.0,39944.0
961,Irrigated Palay,Antique,1,1995,11070.0,24908.0
962,Irrigated Palay,Capiz,1,1995,6820.0,20460.0
