Croptype,Province,Quarter,Area,Year,Production,Yield
Irrigated Palay,Aklan,Quarter 1,6130.0,1987,19309.0,3.1499184339314845
Irrigated Palay,Antique,Quarter 1,9030.0,1987,28275.0,3.1312292358803986
Irrigated Palay,Capiz,Quarter 1,6300.0,1987,18540.0,2.942857142857143
Irrigated Palay,Guimaras,Quarter 1,,1987,,2.839247095170932
Irrigated Palay,Iloilo,Quarter 1,21270.0,1987,58187.0,2.7356370474847203
Rainfed Palay,Aklan,Quarter 1,4890.0,1987,8130.0,1.6625766871165644
Rainfed Palay,Antique,Quarter 1,2590.0,1987,3890.0,1.501930501930502
Rainfed Palay,Capiz,Quarter 1,31240.0,1987,78750.0,2.520806658130602
Rainfed Palay,Guimaras,Quarter 1,,1987,,2.348479164754641
Rainfed Palay,Iloilo,Quarter 1,60130.0,1987,130852.0,2.1761516713786797
Palay,Aklan,Quarter 1,11020.0,1987,27439.0,2.4899274047186934
Palay,Antique,Quarter 1,11620.0,1987,32165.0,2.7680722891566263
Palay,Capiz,Quarter 1,37540.0,1987,97290.0,2.591635588705381
Palay,Guimaras,Quarter 1,,1987,,2.456991013025909
Palay,Iloilo,Quarter 1,81400.0,1987,189039.0,2.3223464373464373
White Corn,Aklan,Quarter 1,,1987,,1.2611732186732187
White Corn,Antique,Quarter 1,10.0,1987,2.0,0.2
White Corn,Capiz,Quarter 1,290.0,1987,341.0,1.1758620689655173
White Corn,Guimaras,Quarter 1,,1987,,0.7806729699666296
White Corn,Iloilo,Quarter 1,1240.0,1987,478.0,0.38548387096774195
Yellow Corn,Aklan,Quarter 1,80.0,1987,47.0,0.5875
Yellow Corn,Antique,Quarter 1,230.0,1987,35.0,0.15217391304347827
Yellow Corn,Capiz,Quarter 1,3250.0,1987,4241.0,1.3049230769230769
Yellow Corn,Guimaras,Quarter 1,,1987,,0.9614142411642411
Yellow Corn,Iloilo,Quarter 1,5920.0,1987,3658.0,0.6179054054054054
Corn,Aklan,Quarter 1,80.0,1987,47.0,0.5875
Corn,Antique,Quarter 1,240.0,1987,37.0,0.15416666666666667
Corn,Capiz,Quarter 1,3540.0,1987,4582.0,1.2943502824858757
Corn,Guimaras,Quarter 1,,1987,,0.9360019568853959
Corn,Iloilo,Quarter 1,7160.0,1987,4136.0,0.5776536312849162
Irrigated Palay,Aklan,Quarter 2,3440.0,1987,8971.0,2.6078488372093025
Irrigated Palay,Antique,Quarter 2,2430.0,1987,7440.0,3.0617283950617282
Irrigated Palay,Capiz,Quarter 2,520.0,1987,805.0,1.5480769230769231
Irrigated Palay,Guimaras,Quarter 2,,1987,,1.9965094399795893
Irrigated Palay,Iloilo,Quarter 2,6030.0,1987,14743.0,2.4449419568822552
Rainfed Palay,Aklan,Quarter 2,3850.0,1987,5640.0,1.464935064935065
Rainfed Palay,Antique,Quarter 2,,1987,,1.5095759662024721
Rainfed Palay,Capiz,Quarter 2,1660.0,1987,2580.0,1.5542168674698795
Rainfed Palay,Guimaras,Quarter 2,,1987,,1.9293172690763054
Rainfed Palay,Iloilo,Quarter 2,2490.0,1987,5738.0,2.304417670682731
Palay,Aklan,Quarter 2,7290.0,1987,14611.0,2.004252400548697
Palay,Antique,Quarter 2,2430.0,1987,7440.0,3.0617283950617282
Palay,Capiz,Quarter 2,2180.0,1987,3385.0,1.5527522935779816
Palay,Guimaras,Quarter 2,,1987,,1.9783127665073006
Palay,Iloilo,Quarter 2,8520.0,1987,20481.0,2.40387323943662
White Corn,Aklan,Quarter 2,110.0,1987,80.0,0.7272727272727273
White Corn,Antique,Quarter 2,260.0,1987,43.0,0.16538461538461538
White Corn,Capiz,Quarter 2,70.0,1987,51.0,0.7285714285714285
White Corn,Guimaras,Quarter 2,,1987,,0.6162857142857143
White Corn,Iloilo,Quarter 2,500.0,1987,252.0,0.504
Yellow Corn,Aklan,Quarter 2,470.0,1987,223.0,0.474468085106383
Yellow Corn,Antique,Quarter 2,1670.0,1987,625.0,0.37425149700598803
Yellow Corn,Capiz,Quarter 2,240.0,1987,292.0,1.2166666666666666
Yellow Corn,Guimaras,Quarter 2,,1987,,0.8432506887052341
Yellow Corn,Iloilo,Quarter 2,2420.0,1987,1137.0,0.4698347107438017
Corn,Aklan,Quarter 2,580.0,1987,303.0,0.5224137931034483
Corn,Antique,Quarter 2,580.0,1987,668.0,1.1517241379310346
Corn,Capiz,Quarter 2,310.0,1987,343.0,1.1064516129032258
Corn,Guimaras,Quarter 2,,1987,,0.7910682722050375
Corn,Iloilo,Quarter 2,2920.0,1987,1389.0,0.4756849315068493
Irrigated Palay,Aklan,Quarter 3,2290.0,1987,7603.0,3.3200873362445416
Irrigated Palay,Antique,Quarter 3,2590.0,1987,8542.0,3.298069498069498
Irrigated Palay,Capiz,Quarter 3,100.0,1987,406.0,4.06
Irrigated Palay,Guimaras,Quarter 3,,1987,,3.874054054054054
Irrigated Palay,Iloilo,Quarter 3,1850.0,1987,6823.0,3.688108108108108
Rainfed Palay,Aklan,Quarter 3,790.0,1987,1116.0,1.4126582278481012
Rainfed Palay,Antique,Quarter 3,5240.0,1987,10424.0,1.9893129770992366
Rainfed Palay,Capiz,Quarter 3,2030.0,1987,3359.0,1.654679802955665
Rainfed Palay,Guimaras,Quarter 3,,1987,,1.773279195981524
Rainfed Palay,Iloilo,Quarter 3,12190.0,1987,23062.0,1.891878589007383
Palay,Aklan,Quarter 3,3080.0,1987,8719.0,2.8308441558441557
Palay,Antique,Quarter 3,7830.0,1987,18966.0,2.422222222222222
Palay,Capiz,Quarter 3,2130.0,1987,3765.0,1.767605633802817
Palay,Guimaras,Quarter 3,,1987,,1.9480834436820353
Palay,Iloilo,Quarter 3,14040.0,1987,29885.0,2.1285612535612537
White Corn,Aklan,Quarter 3,120.0,1987,100.0,0.8333333333333334
White Corn,Antique,Quarter 3,,1987,,0.7016666666666667
White Corn,Capiz,Quarter 3,500.0,1987,285.0,0.57
White Corn,Guimaras,Quarter 3,,1987,,0.5780463576158941
White Corn,Iloilo,Quarter 3,3020.0,1987,1770.0,0.5860927152317881
Yellow Corn,Aklan,Quarter 3,470.0,1987,170.0,0.3617021276595745
Yellow Corn,Antique,Quarter 3,1770.0,1987,675.0,0.3813559322033898
Yellow Corn,Capiz,Quarter 3,7490.0,1987,6465.0,0.863150867823765
Yellow Corn,Guimaras,Quarter 3,,1987,,0.7561665224623619
Yellow Corn,Iloilo,Quarter 3,17730.0,1987,11510.0,0.6491821771009588
Corn,Aklan,Quarter 3,590.0,1987,270.0,0.4576271186440678
Corn,Antique,Quarter 3,1770.0,1987,675.0,0.3813559322033898
Corn,Capiz,Quarter 3,7990.0,1987,6750.0,0.8448060075093867
Corn,Guimaras,Quarter 3,,1987,,0.7424030037546934
Corn,Iloilo,Quarter 3,20750.0,1987,13280.0,0.64
Irrigated Palay,Aklan,Quarter 4,6890.0,1987,15727.0,2.2825834542815673
Irrigated Palay,Antique,Quarter 4,6350.0,1987,22786.0,3.5883464566929133
Irrigated Palay,Capiz,Quarter 4,5860.0,1987,21903.0,3.737713310580205
Irrigated Palay,Guimaras,Quarter 4,,1987,,3.6191784056118528
Irrigated Palay,Iloilo,Quarter 4,23310.0,1987,81600.0,3.5006435006435006
Rainfed Palay,Aklan,Quarter 4,7150.0,1987,9775.0,1.367132867132867
Rainfed Palay,Antique,Quarter 4,7700.0,1987,15838.0,2.056883116883117
Rainfed Palay,Capiz,Quarter 4,33480.0,1987,99498.0,2.9718637992831543
Rainfed Palay,Guimaras,Quarter 4,,1987,,2.716659382320561
Rainfed Palay,Iloilo,Quarter 4,86600.0,1987,213162.0,2.4614549653579676
Palay,Aklan,Quarter 4,14040.0,1987,25502.0,1.8163817663817663
Palay,Antique,Quarter 4,14050.0,1987,38624.0,2.7490391459074734
Palay,Capiz,Quarter 4,39340.0,1987,121401.0,3.0859430604982205
Palay,Guimaras,Quarter 4,,1987,,2.8838959229340344
Palay,Iloilo,Quarter 4,109910.0,1987,294762.0,2.6818487853698483
White Corn,Aklan,Quarter 4,,1987,,2.1788123616292117
White Corn,Antique,Quarter 4,,1987,,1.6757759378885755
White Corn,Capiz,Quarter 4,,1987,,1.172739514147939
White Corn,Guimaras,Quarter 4,,1987,,0.6697030904073027
White Corn,Iloilo,Quarter 4,30.0,1987,5.0,0.16666666666666666
Yellow Corn,Aklan,Quarter 4,60.0,1987,25.0,0.4166666666666667
Yellow Corn,Antique,Quarter 4,,1987,,0.39708333333333334
Yellow Corn,Capiz,Quarter 4,800.0,1987,302.0,0.3775
Yellow Corn,Guimaras,Quarter 4,,1987,,0.6268943298969072
Yellow Corn,Iloilo,Quarter 4,970.0,1987,850.0,0.8762886597938144
Corn,Aklan,Quarter 4,60.0,1987,25.0,0.4166666666666667
Corn,Antique,Quarter 4,,1987,,0.39708333333333334
Corn,Capiz,Quarter 4,800.0,1987,302.0,0.3775
Corn,Guimaras,Quarter 4,,1987,,0.61625
Corn,Iloilo,Quarter 4,1000.0,1987,855.0,0.855
Irrigated Palay,Aklan,Quarter 1,7510.0,1988,23007.0,3.063515312916112
Irrigated Palay,Antique,Quarter 1,9430.0,1988,24485.0,2.5965005302226936
Irrigated Palay,Capiz,Quarter 1,5830.0,1988,17872.0,3.065523156089194
Irrigated Palay,Guimaras,Quarter 1,,1988,,3.0875959899212626
Irrigated Palay,Iloilo,Quarter 1,26270.0,1988,81691.0,3.109668823753331
Rainfed Palay,Aklan,Quarter 1,6850.0,1988,12195.0,1.7802919708029197
Rainfed Palay,Antique,Quarter 1,2800.0,1988,4450.0,1.5892857142857142
Rainfed Palay,Capiz,Quarter 1,33380.0,1988,73116.0,2.1904134212103057
Rainfed Palay,Guimaras,Quarter 1,,1988,,1.8876287154048574
Rainfed Palay,Iloilo,Quarter 1,54170.0,1988,85851.0,1.5848440095994092
Palay,Aklan,Quarter 1,14360.0,1988,35202.0,2.4513927576601673
Palay,Antique,Quarter 1,12230.0,1988,28935.0,2.365903515944399
Palay,Capiz,Quarter 1,39210.0,1988,90988.0,2.3205304769191533
Palay,Guimaras,Quarter 1,,1988,,2.201674984854405
Palay,Iloilo,Quarter 1,80440.0,1988,167542.0,2.082819492789657
White Corn,Aklan,Quarter 1,,1988,,1.2339097463948283
White Corn,Antique,Quarter 1,400.0,1988,154.0,0.385
White Corn,Capiz,Quarter 1,130.0,1988,293.0,2.253846153846154
White Corn,Guimaras,Quarter 1,,1988,,1.2508168822328114
White Corn,Iloilo,Quarter 1,1130.0,1988,280.0,0.24778761061946902
Yellow Corn,Aklan,Quarter 1,70.0,1988,32.0,0.45714285714285713
Yellow Corn,Antique,Quarter 1,1800.0,1988,522.0,0.29
Yellow Corn,Capiz,Quarter 1,1210.0,1988,1116.0,0.9223140495867769
Yellow Corn,Guimaras,Quarter 1,,1988,,0.6548990426733373
Yellow Corn,Iloilo,Quarter 1,7830.0,1988,3034.0,0.3874840357598978
Corn,Aklan,Quarter 1,70.0,1988,32.0,0.45714285714285713
Corn,Antique,Quarter 1,2200.0,1988,676.0,0.30727272727272725
Corn,Capiz,Quarter 1,1340.0,1988,1409.0,1.0514925373134327
Corn,Guimaras,Quarter 1,,1988,,0.710679304371002
Corn,Iloilo,Quarter 1,8960.0,1988,3314.0,0.3698660714285714
Irrigated Palay,Aklan,Quarter 2,1610.0,1988,4255.0,2.642857142857143
Irrigated Palay,Antique,Quarter 2,1620.0,1988,4366.0,2.6950617283950615
Irrigated Palay,Capiz,Quarter 2,,1988,,2.7482229704451924
Irrigated Palay,Guimaras,Quarter 2,,1988,,2.8013842124953237
Irrigated Palay,Iloilo,Quarter 2,440.0,1988,1256.0,2.8545454545454545
Rainfed Palay,Aklan,Quarter 2,1140.0,1988,1220.0,1.0701754385964912
Rainfed Palay,Antique,Quarter 2,,1988,,1.733951355661882
Rainfed Palay,Capiz,Quarter 2,440.0,1988,1055.0,2.397727272727273
Rainfed Palay,Guimaras,Quarter 2,,1988,,1.6488636363636364
Rainfed Palay,Iloilo,Quarter 2,170.0,1988,153.0,0.9
Palay,Aklan,Quarter 2,2750.0,1988,5475.0,1.990909090909091
Palay,Antique,Quarter 2,1620.0,1988,4366.0,2.6950617283950615
Palay,Capiz,Quarter 2,440.0,1988,1055.0,2.397727272727273
Palay,Guimaras,Quarter 2,,1988,,2.353781669150522
Palay,Iloilo,Quarter 2,610.0,1988,1409.0,2.3098360655737706
White Corn,Aklan,Quarter 2,,1988,,1.2642930327868853
White Corn,Antique,Quarter 2,160.0,1988,35.0,0.21875
White Corn,Capiz,Quarter 2,150.0,1988,160.0,1.0666666666666667
White Corn,Guimaras,Quarter 2,,1988,,0.7315789473684211
White Corn,Iloilo,Quarter 2,570.0,1988,226.0,0.39649122807017545
Yellow Corn,Aklan,Quarter 2,550.0,1988,385.0,0.7
Yellow Corn,Antique,Quarter 2,360.0,1988,133.0,0.36944444444444446
Yellow Corn,Capiz,Quarter 2,1720.0,1988,2197.0,1.2773255813953488
Yellow Corn,Guimaras,Quarter 2,,1988,,0.96870570915261
Yellow Corn,Iloilo,Quarter 2,2330.0,1988,1538.0,0.6600858369098712
Corn,Aklan,Quarter 2,550.0,1988,385.0,0.7
Corn,Antique,Quarter 2,520.0,1988,168.0,0.3230769230769231
Corn,Capiz,Quarter 2,1870.0,1988,2357.0,1.260427807486631
Corn,Guimaras,Quarter 2,,1988,,0.9343518347777984
Corn,Iloilo,Quarter 2,2900.0,1988,1764.0,0.6082758620689656
Irrigated Palay,Aklan,Quarter 3,6770.0,1988,16790.0,2.480059084194978
Irrigated Palay,Antique,Quarter 3,4310.0,1988,13921.0,3.2299303944315545
Irrigated Palay,Capiz,Quarter 3,4790.0,1988,18969.0,3.960125260960334
Irrigated Palay,Guimaras,Quarter 3,,1988,,3.7350565772114015
Irrigated Palay,Iloilo,Quarter 3,16520.0,1988,57985.0,3.5099878934624695
Rainfed Palay,Aklan,Quarter 3,2230.0,1988,4014.0,1.8
Rainfed Palay,Antique,Quarter 3,6280.0,1988,13376.0,2.129936305732484
Rainfed Palay,Capiz,Quarter 3,16760.0,1988,42235.0,2.5199880668257757
Rainfed Palay,Guimaras,Quarter 3,,1988,,2.3650007538429954
Rainfed Palay,Iloilo,Quarter 3,29760.0,1988,65770.0,2.210013440860215
